Category: All categories

Region,#MeToo: (2017)
Utah,100
Hawaii,97
Massachusetts,95
Washington,90
New York,86
Maine,85
Delaware,82
Colorado,81
Oklahoma,81
Idaho,80
California,79
New Hampshire,78
Iowa,78
Missouri,75
Tennessee,73
Connecticut,73
Arizona,72
Maryland,72
Vermont,71
Minnesota,71
District of Columbia,70
Wyoming,69
Pennsylvania,68
Oregon,68
Indiana,67
North Carolina,64
New Jersey,63
South Carolina,62
Wisconsin,61
Virginia,61
Arkansas,59
Alabama,58
Kansas,57
Nevada,55
Illinois,55
Georgia,54
Texas,54
Louisiana,54
Kentucky,53
West Virginia,51
Rhode Island,51
Michigan,50
Ohio,50
Florida,47
South Dakota,47
Montana,39
Mississippi,37
Nebraska,37
Alaska,36
New Mexico,26
North Dakota,16
