Category: All categories

Region,#MeToo: (7/13/13 - 7/13/18)
Wyoming,100
Montana,97
Maine,97
Vermont,91
South Dakota,90
Idaho,89
Connecticut,84
Washington,83
Massachusetts,83
North Dakota,81
Rhode Island,79
New Hampshire,77
California,74
Indiana,73
Wisconsin,72
Arizona,72
New York,71
Nebraska,69
Oregon,68
Maryland,68
Illinois,67
Colorado,67
Utah,66
Alaska,66
Ohio,66
Pennsylvania,65
Minnesota,65
Kentucky,62
Michigan,61
Louisiana,59
Delaware,59
Virginia,59
Iowa,58
Florida,57
New Jersey,57
District of Columbia,57
North Carolina,55
Tennessee,55
Texas,54
Missouri,52
West Virginia,52
Alabama,51
Hawaii,49
Kansas,49
Nevada,48
Mississippi,48
South Carolina,45
Georgia,42
Arkansas,41
Oklahoma,39
New Mexico,35
