Category: All categories

Week,#MeToo: (United States)
2013-07-14,0
2013-07-21,0
2013-07-28,0
2013-08-04,0
2013-08-11,0
2013-08-18,0
2013-08-25,0
2013-09-01,0
2013-09-08,0
2013-09-15,0
2013-09-22,0
2013-09-29,0
2013-10-06,0
2013-10-13,0
2013-10-20,0
2013-10-27,0
2013-11-03,0
2013-11-10,0
2013-11-17,0
2013-11-24,0
2013-12-01,0
2013-12-08,0
2013-12-15,0
2013-12-22,0
2013-12-29,0
2014-01-05,0
2014-01-12,0
2014-01-19,0
2014-01-26,0
2014-02-02,0
2014-02-09,0
2014-02-16,0
2014-02-23,0
2014-03-02,0
2014-03-09,0
2014-03-16,0
2014-03-23,0
2014-03-30,0
2014-04-06,0
2014-04-13,0
2014-04-20,0
2014-04-27,0
2014-05-04,0
2014-05-11,0
2014-05-18,0
2014-05-25,0
2014-06-01,0
2014-06-08,0
2014-06-15,0
2014-06-22,0
2014-06-29,0
2014-07-06,0
2014-07-13,0
2014-07-20,0
2014-07-27,0
2014-08-03,0
2014-08-10,0
2014-08-17,0
2014-08-24,0
2014-08-31,0
2014-09-07,0
2014-09-14,0
2014-09-21,0
2014-09-28,0
2014-10-05,0
2014-10-12,0
2014-10-19,0
2014-10-26,0
2014-11-02,0
2014-11-09,0
2014-11-16,0
2014-11-23,0
2014-11-30,0
2014-12-07,0
2014-12-14,0
2014-12-21,0
2014-12-28,0
2015-01-04,0
2015-01-11,0
2015-01-18,0
2015-01-25,0
2015-02-01,0
2015-02-08,0
2015-02-15,0
2015-02-22,0
2015-03-01,0
2015-03-08,0
2015-03-15,0
2015-03-22,0
2015-03-29,0
2015-04-05,0
2015-04-12,0
2015-04-19,0
2015-04-26,0
2015-05-03,0
2015-05-10,0
2015-05-17,0
2015-05-24,0
2015-05-31,0
2015-06-07,0
2015-06-14,0
2015-06-21,0
2015-06-28,0
2015-07-05,0
2015-07-12,0
2015-07-19,0
2015-07-26,0
2015-08-02,0
2015-08-09,0
2015-08-16,0
2015-08-23,0
2015-08-30,0
2015-09-06,0
2015-09-13,0
2015-09-20,0
2015-09-27,0
2015-10-04,0
2015-10-11,0
2015-10-18,0
2015-10-25,0
2015-11-01,0
2015-11-08,0
2015-11-15,0
2015-11-22,0
2015-11-29,0
2015-12-06,0
2015-12-13,0
2015-12-20,0
2015-12-27,0
2016-01-03,0
2016-01-10,<1
2016-01-17,0
2016-01-24,0
2016-01-31,0
2016-02-07,0
2016-02-14,0
2016-02-21,0
2016-02-28,0
2016-03-06,0
2016-03-13,0
2016-03-20,0
2016-03-27,0
2016-04-03,0
2016-04-10,0
2016-04-17,0
2016-04-24,0
2016-05-01,0
2016-05-08,0
2016-05-15,0
2016-05-22,0
2016-05-29,0
2016-06-05,0
2016-06-12,0
2016-06-19,0
2016-06-26,0
2016-07-03,0
2016-07-10,0
2016-07-17,0
2016-07-24,0
2016-07-31,0
2016-08-07,0
2016-08-14,0
2016-08-21,0
2016-08-28,0
2016-09-04,0
2016-09-11,0
2016-09-18,0
2016-09-25,0
2016-10-02,0
2016-10-09,0
2016-10-16,0
2016-10-23,0
2016-10-30,0
2016-11-06,0
2016-11-13,0
2016-11-20,0
2016-11-27,0
2016-12-04,0
2016-12-11,0
2016-12-18,0
2016-12-25,0
2017-01-01,0
2017-01-08,0
2017-01-15,0
2017-01-22,0
2017-01-29,0
2017-02-05,0
2017-02-12,0
2017-02-19,0
2017-02-26,0
2017-03-05,0
2017-03-12,0
2017-03-19,0
2017-03-26,0
2017-04-02,0
2017-04-09,0
2017-04-16,0
2017-04-23,0
2017-04-30,0
2017-05-07,0
2017-05-14,0
2017-05-21,0
2017-05-28,0
2017-06-04,0
2017-06-11,0
2017-06-18,0
2017-06-25,0
2017-07-02,0
2017-07-09,0
2017-07-16,0
2017-07-23,0
2017-07-30,0
2017-08-06,0
2017-08-13,0
2017-08-20,0
2017-08-27,0
2017-09-03,0
2017-09-10,0
2017-09-17,0
2017-09-24,0
2017-10-01,0
2017-10-08,0
2017-10-15,100
2017-10-22,11
2017-10-29,7
2017-11-05,4
2017-11-12,6
2017-11-19,5
2017-11-26,6
2017-12-03,11
2017-12-10,9
2017-12-17,7
2017-12-24,5
2017-12-31,6
2018-01-07,13
2018-01-14,12
2018-01-21,12
2018-01-28,12
2018-02-04,10
2018-02-11,11
2018-02-18,7
2018-02-25,7
2018-03-04,10
2018-03-11,6
2018-03-18,6
2018-03-25,4
2018-04-01,6
2018-04-08,6
2018-04-15,5
2018-04-22,7
2018-04-29,6
2018-05-06,7
2018-05-13,11
2018-05-20,7
2018-05-27,6
2018-06-03,8
2018-06-10,5
2018-06-17,3
2018-06-24,4
2018-07-01,5
2018-07-08,4
